prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,498815,1,True,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,561506,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,~/jphacks2022/gpu_server/stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,333806,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,~/jphacks2022/gpu_server/stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,408072,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,79174,1,False,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,~/jphacks2022/gpu_server/stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,833760,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,~/jphacks2022/gpu_server/stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,526130,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,230572,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/123,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,435376,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/3,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,353020,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/3,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,66455,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/3,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,972654,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/3,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,485411,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/0,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,681381,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/1,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,67686,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/2,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,363361,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/2,False,False,50,False,0.0,1,512,512,4,8,3,0,7.5,cuda,,503522,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,stable-diffusion/outputs/3,False,False,50,False,0.0,1,512,512,4,8,3,0,7.5,cuda,,988918,1,True,autocast,png,plms,stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt
